,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Tottori,Tottori,LOC,0.05067064,0.21087928,en,3.05000000,4309653-0,1849892,P,35.50000000,134.23333000,ASIA,Japan,EAS
Pompeii,Pompeii,GPE,-0.20000000,0.62222222,en,3.00000000,4046755-7,3170336,S,40.75000000,14.48333000,EUROPE-AFRICA,Italy,MED
TEPCO,TEPCO,GPE,0.15277778,0.65277778,en,3.00000000,,8616489,P,-32.16644000,140.79521000,OCEANIA,Australia,SAU
Kanazawa,Kanazawa,GPE,0.16226852,0.61736111,en,3.00000000,4073191-1,1860243,P,36.60000000,136.61667000,ASIA,Japan,EAS
Yarikata,Yarikata,GPE,0.00846154,0.08461538,en,2.95454545,,0,,,,,,
the Middle East,the Middle East,LOC,-0.02830189,0.38773585,en,2.94444444,,12217091,L,35.80000000,-86.50000000,NORTH-AMERICA,United States,ENA
Higashidori Village,Higashidori Village,GPE,0.00000000,0.00000000,en,2.90000000,,0,,,,,,
Yamagata Prefecture,Yamagata Prefecture,GPE,0.19276820,0.73982280,en,2.90000000,,2110556,P,38.23333000,140.36667000,ASIA,Japan,EAS
Brazil,Brazil,GPE,-0.02969349,0.61590038,en,2.90000000,4008003-1,3469034,A,-10.00000000,-55.00000000,SOUTH-AMERICA,Brazil,SAM
Okayama Prefecture,Okayama Prefecture,LOC,0.20864662,0.50313283,en,2.85000000,4102047-9,1854383,P,34.65000000,133.93333000,ASIA,Japan,EAS
Kyoto City,Kyoto City,GPE,0.26315789,0.78752437,en,2.85000000,,10338199,S,35.03088000,135.75143000,ASIA,Japan,EAS
Shibuya-ku,Shibuya-ku,GPE,0.31538049,0.59539121,en,2.82727273,,1852582,A,35.66404000,139.69821000,ASIA,Japan,EAS
Tsugaru,Tsugaru,GPE,0.00000000,0.08928571,en,2.80000000,,0,,,,,,
Ito City,Ito City,GPE,-0.16964286,0.36607143,en,2.80000000,,3435874,P,-34.62264000,-58.44104000,SOUTH-AMERICA,Argentina,SES
Mindanao Island,Mindanao Island,LOC,-0.03571429,0.14285714,en,2.80000000,,1699597,T,7.66382000,125.13051000,ASIA,Philippines,SEA
Joetsu City,Joetsu City,GPE,0.23098545,0.62582672,en,2.80000000,,0,,,,,,
Satsuma,Satsuma,GPE,-0.15476190,0.23214286,en,2.80000000,,1852853,A,31.50000000,130.41667000,ASIA,Japan,EAS
Morimon,Morimon,GPE,0.08290816,0.52040816,en,2.80000000,,0,,,,,,
Kiev,Kiev,GPE,-0.05059524,0.39583333,en,2.80000000,4030522-3,703448,P,50.45466000,30.52380000,EUROPE,Ukraine,WCE
Kesa,Kesa,GPE,0.03125000,0.25446429,en,2.80000000,,161811,T,38.55063000,56.58533000,ASIA,Turkmenistan,WCA
Melbourne,Melbourne,GPE,0.13802083,0.58333333,en,2.80000000,4038526-7,2158177,P,-37.81400000,144.96332000,OCEANIA,Australia,SAU
Victoria,Victoria,GPE,0.44642857,0.60714286,en,2.80000000,,241131,P,-4.62001000,55.45501000,INDIAN,Seychelles,EIO
Minamata City,Minamata City,GPE,0.00000000,0.00000000,en,2.80000000,,0,,,,,,
Yasugi City,Yasugi City,GPE,0.05519481,0.18506494,en,2.80000000,,0,,,,,,
the Great North region,the Great North region,LOC,0.14360119,0.54092262,en,2.80000000,,12212304,L,44.57143000,-84.69022000,NORTH-AMERICA,United States,ENA
Syria,Syria,GPE,-0.12797619,0.31547619,en,2.80000000,4058794-0,163843,A,35.00000000,38.00000000,EUROPE-AFRICA,Syria,MED
Hamatonbetsu Town,Hamatonbetsu Town,GPE,0.00000000,0.00000000,en,2.80000000,,0,,,,,,
Miyakojima,Miyakojima,GPE,-0.15178571,0.57142857,en,2.80000000,1387573322,6822158,P,24.79016000,125.31109000,ASIA,Japan,EAS
Ishikari,Ishikari,GPE,-0.05952381,0.52678571,en,2.80000000,,2129909,P,43.23972000,141.35389000,ASIA,Japan,EAS
Fukui,Fukui,GPE,0.02827381,0.31101190,en,2.80000000,4250606-2,1863985,P,36.06443000,136.22257000,ASIA,Japan,EAS
Tsunan Town,Tsunan Town,GPE,0.18750000,0.52380952,en,2.80000000,,0,,,,,,
Osaka City,Osaka City,GPE,-0.12321429,0.17678571,en,2.80000000,,1853909,P,34.69379000,135.50107000,ASIA,Japan,EAS
Shin-Aomori,Shin-Aomori,GPE,-0.08928571,0.26785714,en,2.80000000,,8311625,S,40.53426000,141.49112000,ASIA,Japan,EAS
Shiga Town,Shiga Town,GPE,0.00000000,0.00000000,en,2.80000000,,0,,,,,,
midwestern United States,midwestern United States,GPE,-0.17872174,0.46885522,en,2.80000000,,11887750,L,42.65982000,-93.93863000,NORTH-AMERICA,United States,CNA
Iwaki City,Iwaki City,GPE,-0.19642857,0.51785714,en,2.80000000,,0,,,,,,
Japan Sea,Japan Sea,LOC,0.05714286,0.26170635,en,2.80000000,,0,,,,,,
Minamiaso Village,Minamiaso Village,GPE,0.00000000,0.00000000,en,2.70000000,,10231037,S,32.89804000,131.00712000,ASIA,Japan,EAS
Oita,Oita,GPE,-0.04012346,0.09979424,en,2.70000000,,1854487,P,33.23333000,131.60000000,ASIA,Japan,EAS
NHK BS,NHK BS,GPE,0.05326768,0.54521038,en,2.65952381,,0,,,,,,
Alaska,Alaska,GPE,0.31501832,0.66208791,en,2.60000000,4001016-8,5879092,A,64.00028000,-150.00028000,NORTH-AMERICA,United States,NWN
Philippines,Philippines,GPE,-0.03881701,0.15526802,en,2.57619048,4045771-0,1694008,A,13.40882000,122.56155000,ASIA,Philippines,SEA
Phoenix,Phoenix,GPE,0.11289847,0.28003247,en,2.56666667,4119970-4,5308655,P,33.44838000,-112.07404000,CENTRAL-AMERICA,United States,NCA
Mutsu City,Mutsu City,GPE,-0.01966292,0.12289326,en,2.54285714,,0,,,,,,
the Kii Mountains,the Kii Mountains,LOC,0.00412698,0.38190476,en,2.50000000,,0,,,,,,
Gaza,Gaza,GPE,0.09666667,0.17333333,en,2.50000000,4092680-1,281133,P,31.50161000,34.46672000,EUROPE-AFRICA,Palestinian Territory,MED
Kanto-Koshin,Kanto-Koshin,LOC,-0.12095238,1.02333333,en,2.50000000,,1843926,P,34.39222000,126.66861000,ASIA,South Korea,EAS
Milan,Milan,GPE,0.08298359,0.59130462,en,2.48822055,4037100-1,3173435,P,45.46427000,9.18951000,EUROPE,Italy,WCE
